sent0,sent1,hard_neg
I tossed the frisbee into the air and ran to catch it. It felt like childhood all over again.,I kneeled down beside my bed and began to pray. It was a ritual I kept up each night before bed.,You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.
"After careful consideration, the team retracted their initial claim, ultimately winning the argument.",The troops retreated with honor after a long-fought victory.,It's difficult to defend a claim when others try to criticize it. The arguments become divided and hard to connect.
"The person opened up their wardrobe, eagerly searching for the perfect outfit. After trying on several, the perfect one finally emerged.","The monkey saw a bunch of bananas, excitedly jumping towards them. After devouring a few, the monkey was finally content.","The person eagerly put together an outfit, feeling stylish and confident."
The forest consists of thousands of trees. Together they absorb carbon dioxide and release oxygen.,"Most birds have two wings. Each wing is specialized to help them fly, providing lift and propulsion.",The forest is made up of many trees. Different kinds of trees provide a diverse environment.
The tooth rests within the mouth. It acts as a tool for mastication.,The wall stands around the building. It shields the structure from external forces.,"A tooth rests in the mouth, among other teeth. It grows secure with the other teeth."
These ingredients can include fruits and vegetables. The ingredients are cooked and mixed over time.,These materials can include dead animals and plants. The material is subjected to heat and pressure over millions of years.,"The ingredients are stirred together. The food is created based on the amount of ingredients, time, and stirring."
Place paper in the printer. Send the signal to print out a document.,Pressing a finger on the keyboard will cause characters to type. Then hit 'enter' to save.,Turning on the printer enables you to print documents from your device.
Fruits ripen. The fruits are dropped into the soil.,The bones decay. The bones are cast into the sediment.,The seeds remain fleshy fruits. The fleshy fruit is eaten.
Paint is applied to a canvas. Time passes on and a masterpiece is created.,The soil forms around the body. Time passes on and the rock forms.,"Paint, brushes, and a canvas are used to paint a picture. The paint should be mixed and applied to the canvas."
Bombastic words create a turgid atmosphere. The tone is weighted and labored.,Whimsical phrases fill the air with a capriciousness. Thoughts are light and joyous.,"The sounds of music wafted through the air, the atmosphere alive with emotion and energy. Nothing could have been more beautiful."
This pattern of gain and loss continues. The stock becomes too expensive to be pushed up by investors.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.,"The stock market moves up and down, collecting additional investment and growing in value. The large profits are distributed to investors."
An accident can be a scary experience. Hospitals provide safety and comfort for those affected.,Death affects us all. Funerals are held to honour the departed and offer comfort to the living.,One connects to their sense of comfort and safety. They find something familiar to call home.
The timid person shies away from risk and uncertainty. The bold person is unafraid to step out of their comfort zone.,Nearby places are easily reachable. Distant places require travel.,"The person shrugs their shoulders, unsure of what to do. Uncertainty starts to take hold of the situation."
Talented performers take the stage. Judges observe and evalute each performance at a dance recital.,"Suspected criminals appear in court, and evidence is brought forth. The judge and jury decide the outcome of the trial.","The cast had gathered in the auditorium, ready to put on a performance of the famed opera. As the music began, each paused to take in the moment."
Bread is generally made of flour. The flour is mixed with other ingredients until a dough is formed.,A book is usually made from paper. The papers are attached together to form the book.,Bread is made from flour and ingredients. The dough can then be shaped and baked into the desired form.
You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.,You stop your bicycle by applying the brake. This brings the bicycle to a halt and you can get off your bicycle safely.,He picked up the frisbee and threw it. He was thrilled when he was able to catch it again.
This waste is not always cleaned up properly. Greenhouse gases can heat up the atmosphere.,Rubbish is not always disposed correctly. Dangerous chemicals can pollute the environment.,Greenhouse gases are gases that can linger in the atmosphere. These gases can prevent heat from escaping Earth's atmosphere.
The engaging scent travels up the nose. The sensation is a reminder of a distant memory.,The eyes take in the splendor of the scene. A breathtaking moment of clarity is realized.,"Memories are triggered by senses. The sights, sounds, and smells of the past are remembered."
Rocks are physically and chemically transformed into a metamorphic rock. Rocks are exposed to the atmosphere.,A caterpillar is physically and chemically transformed into a butterfly. The caterpillar is exposed to the warmth of the sun.,These rocks can break off and form sediment that reforms. These rocks can be formed together into sedimentary rock.
Ideas and thoughts are blended together. New solutions are created from the combined elements.,The material is melted together. New products are created from the recyclable materials.,Grow into new ideas. These new ideas generate new solutions.
"The electrical current creates a magnetic field around the wire, magnetizing the metal. The magnetic field can be turned on and off by starting or stopping the electricity source.","A water hose creates a spray of mist around it, cooling the air. The cooling effect can be turned on and off by opening or closing the valve.",A magnetic field is produced by the current. This magnetic field in the wire interacts with certain particles in the central metal part.
Buy products to support a cause. Spend money wisely and use it to help causes that matter to you.,Watch the evening news to stay informed. Hear about current events and what’s happening in the world.,"In order to buy a product, you need to spend money. After spending money, the product is yours."
The books are arranged on the shelf. The library is filled with knowledge.,The dishes are arranged so the jets can hit them. The dishwasher is loaded with a cleaner.,Books are placed in a stack on a shelf. Ideas and knowledge from the books seep into the reader's mind.
"She carefully folded the cloth, ensuring it was as clean and crisp as possible. She knew it was time to make the dress.","He readied the knife, sharpening it to ensure a precise cut. He was ready to begin crafting the sculpture.","She knew she had to make clothes by hand, as cloth was hard to find. Maggie suddenly realized this was the only way she could survive."
Embracing our sadness gives us insight into our inner struggles and triggers understanding of our emotions. We become more mindful and better equipped to deal with our feelings.,"By finding pleasure in life we are able to focus on all the blessings in our life. We smile, appreciate and look forward to what we have and will receive.",Feelings of joy and sadness flowing together. Emotions intertwining and embracing one another.
The butter is bright yellow in color. It melts and spreads easily onto toast.,The flower is soft and fragrant. Its petals open up carefully to the sun.,Grasp the knife firmly and spread butter over the toast. Slowly layer on the desired amount of butter.
The liquid in the pool reflects the environment around it. Every ripple creates a beautiful image.,Information and knowledge is stored in a digital repository. It refines the understanding of users.,Water is constantly circulated in the pool. The flux ensures the pool remains healthy.
The container is filled with sea water. The sea water is released into the larger ocean.,Money is deposited into a bank. The bank's holdings of wealth gradually increase.,Corals are in the ocean. They use light from the sun to survive and thrive in the salt water.
The glucagon causes stored glucose to be released back to the blood. Blood sugar levels rise.,The accelerator causes fuel to be released to the engine. The car's speed increases.,"If blood sugar is too low, insulin levels decline. Glucagon is released by the pancreas."
He had intense training advocating for the same cause. It was difficult to support and reject what were often conflicting views.,"They had done their best selling the product, yet customers kept returning it. It was exhausting work.",She joined the corp expecting a challenge. After months of training she became an invaluable part of the army.
Ingredients are mixed together to make a cake. Heat is produced as a byproduct.,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle. Oxygen is given off as a byproduct.",The ingredients in the recipe use heat. Transform the ingredients into a delicious dish.
"To visit another country, travelers must cross borders. It takes planning and resources to travel abroad.",Hopping on a plane allows one to explore the world. It's an exciting way to see the world and create memories.,"A new country arose, spreading its borders across the continent. Soon it had grown to encompass the whole land."
"A person adjusts a buckle on a belt, tightening it to the desired size. The buckle fastens securely, completing the belt.","A gardener places a plant in the soil and starts to water it. The plant grows, blooming in the garden.","He got down on one knee, holding the ring tightly in his hand. Finally, they said ""I do"" and started their life together."
People choose to emigrate to new countries. It is a journey they must undertake.,"Taking a step back, individuals reconsider their points of view. It is a retreat from their prior position.","Citizens flee nation, joining other expatriates from different countries. For them, life as immigrants begins anew."
A patient enters the doctor's office. The patient is determined to conquer the disease.,A warrior steps onto the battlefield. The warrior fears no enemy.,"The patient taking the right medication is restored to health. The medicine helps the patient recover fully, healing the cause of their illness."
"He hated the crowded supermarket. Instead of shopping, he fantasized about his quiet office, where he had control over his environment.","She felt energized by the challenge the game posed. She was in her own world, racing through time and space.",The store clerk was accustomed to the busy days in the store. He had developed an efficient system to quickly attend to customers.
Water is a liquid. It can flow and take shape of its container.,"Winter is cold. It chills the air and creates beautiful, frosty nights.",Water flows everywhere. It is a liquid with no boundaries.
Hopping on a plane allows one to explore the world. It's an exciting way to see the world and create memories.,"To visit another country, travelers must cross borders. It takes planning and resources to travel abroad.",Planes made it possible to travel quickly to distant places. It was a revolutionary way to explore the world.
Poor people struggle to make money. They often have to work long hours.,Tired people try to find ways to get energy. Regular exercise can help give them a boost.,People support causes they care about. They contribute by giving money and time.
"A vibrant oil painting hangs in the hall. A tumult of passionate colours cascade from the canvas, captivating the viewer.","A wonderfully detailed quilt is crafted. Each stitch is carefully and meticulously crafted, resulting in an exquisite masterpiece.",An easel holds the canvas securely for the artist. It allows for a stable work surface and easy manipulation of the painting.
"Notes are plucked from the guitar strings, ringing out over the air. The sound travels to the listener.","Rain droplets fall into the water, mixing and flowing outward.",Strings are plucked to make music on the guitar. Their sound resonates deep within the room.
"When you shop, you have money. Your wallet feels a bit lighter.","When you dream, you sleep. Your mind is lost in an imagination.",The leather is carefully stitched to make a wallet. The wallet holds all of your important cards and cash.
Write the letter. Fold the letter.,Cut the fabric. Sew the fabric.,Choose what you want to write your letter on. Think of what you want to say.
"The envelope seals, ready for sending in the post. The letter is all set for its journey.",The mast is attached and secured. The sail is ready to be hoisted and set.,He sealed the envelope and took it to the post office. He was happy to send his friend a letter.
Animals gain weight to store energy for the winter. An animal will slow their breathing and other body functions.,Cars fill up their tanks to store fuel for long trips. Cars will slow down to conserve fuel.,The animal's body temperature cools. The animal's breathing slows.
The food is eaten. Digested by something.,The oxygen is inhaled. Used by the body.,Food is drawn into it. Food can not escape.
Murphy was a small tabby kitten and full of energy. His owners laughed as he chased a string around the house.,Clancy was a golden retriever of remarkable intelligence and loyalty. His owners loved petting and cuddling the joyful pup.,"She took her kitten to the cat cafe for the first time. He meowed and hopped around, making new friends."
The pieces that fit together can form puzzles. Puzzles can also be jigsaws.,The plates that push each other up can form mountains. Mountains can also be volcanoes.,Puzzles can break apart and be put back together. The pieces can be reassembled into a complete puzzle.
"The lake water shimmered in the light, revealing hundreds of fish beneath its tranquil surface. He was in awe of this hidden underwater world, untouched by human intervention.","His eyes beheld the vast crater of the moon's surface. It was an astonishing sight, as he marvelled at its grand and sublime scale.","The water was still, fish barely making a ripple as they swam lazily. A perfect day for some relaxed fishing and soaking in the peaceful atmosphere."
"Spot is his loyal pup, she's been following him around. He gives her a bone as a reward for her loyalty and to show his appreciation.","His kind words always make her day. Whenever he gives her a compliment, her heart is filled with joy and appreciation.","The puppy happily chewed on its bone, excited for the treat it had been given. Its tail wagging with sheer joy and enthusiasm."
Domestic breeds of animals are selected for conformance. This ensures a desirable outcome for the breeders.,Species evolve in order to adapt to their environment. This ensures that the species can survive its changing environment.,Different breeds of animals are a result of selective breeding. This process deliberately increases desired traits.
The bus driver brings the bus to a stop at the destination. Passengers alight and make their way to their next adventure.,"Students take an exam to apply their skills to the questions. In the end, students can assess the depth of their knowledge and determine what needs to be studied further.",The bus is full of passengers. They all get to their destination safely.
"Wax melts. When the wax cools, it hardens and becomes a candle.",The magma cools. Crystals form and the magma become igneous rocks.,The heat turns a candle wax into liquid. The liquid turns a wheel.
An electric voltage is created. The electric voltage can be collected.,Heat accumulates. The heat can be harnessed.,Electrical voltage is increased. Electricity is released to electronic devices.
A smart doctor makes the correct diagnosis quickly. Patients heal sooner.,A comfortable chair offers good support. People feel more relaxed and able to concentrate.,The doctor is very smart. She always knows when to prescribe the right treatment.
Food is dumped out of the stomach into the upper intestines. Nutrients are absorbed in the small intestines as a food flows through.,Water is pumped from a reservoir into a river. Nutrients are filtered out as the water flows downstream.,The  food goes into the stomach and is churned. Food is dumped out of the stomach into the upper intestines.
Someone visits the hospital for treatment. The hospital takes care of the patient until they are well again.,The card catalog is organized in the library. People are able to find the resources they need by systematically searching through the catalog.,The bed is wheeled into the hospital. Patients get the care and treatment they need.
"The forest is lush and dense, trees tower high. Roots firmly hold the trees in place.","The bird flaps its wings, the feathers flex with each stroke of wind. Air carries it away from its resting spot, launching it into the open sky.",The forest has many trees. The trees are lush and plentiful.
"Two people come together to start a family, and they get married to seal their bond.","You can't help but be sad, and it shows with every tear you cry.",Two people come together to reproduce. They have a child and become a family.
"The coffee bean roasts, its texture and flavor entirely changed from when it had first been picked.","The pages start to yellow, and the spine of the book begins to weaken with time.",The coffee is brewed from a single coffee bean. The bean gives off its flavor and aroma.
"Information is received through the eyes. The information is processed, understanding the details and gaining knowledge.","Food is taken in through the mouth. The food is chewed, breaking the food into smaller bits and mixing it with saliva.",Ideas and information is filtered through someone's mind. The ideas and information are returned in the form of knowledge and understanding.
The politician is in the public eye. His decisions and statements are widely scrutinized.,The woman is a power player. Her words and actions have influence.,A politician obeys the commands of the president. Every decision is made with thoughtful consideration.
The chemical medium allows for the flow of charge between the anode and cathode. The device is connected to both ends.,The electrical wire allows for the flow of electricity between the positive and negative terminals. The appliance is plugged into both ends.,Chemical reactions occur on the electrodes. This creates a flow of electrical current to the device.
"He was an expert at billiards, and amazed his friends with his speed. On his best night ever, he made a record-breaking number of shots.","She was a pro at controlling the gas stove, and could get the heating to the right level in no time. That night, she cooked the best meal with impeccable temperature.",Things move slower and slower as time passes. Speed decreases.
Embarrassing moments make everyone cringe. An overall sense of discomfort grows.,An unspoken agreement is signalled with a nod. Silence and acquiescence fill the room.,"A feeling of dreamy restlessness consumed them; they felt pulled by some unknown force. The person searched for an answer, a way to make sense of the feeling."
The opponent showed great articulation in his argumentation; every statement was vibrantly presented. His consultant rejoiced in triumph afterwards.,The soldier displayed extreme precision in his tactic; every maneuver was perfectly executed. His troop celebrated in victory afterwards.,"He was standing in the conversation, slowly maneuvering his way to success. His opponent’s rhetoric was no match for his logic."
Fragmented rock material accumulates and is buried by more material. Fragments fuse together to form a sedimentary rock.,Disconnected bits of information accumulate and are layered with new information. Pieces combine and form a complete understanding.,"The material can become buried, compacted, and cemented together. The rock is known as a sedimentary rock due to its composition."
An animal dies. The animal is buried fast under mud.,A leaf falls from a tree. The leaf is quickly covered by a blanket of snow.,An animal lives a happy life. The animal gets very old.
His attacking strategy failed miserably and he was soundly defeated. There was nothing he could do to prevent it.,"Despite all the criticism, she chose to accept that she could not change the outcome. There seemed to be no other option.",Buying shares in the market was his strategy. He knew it had the potential for generating long-term wealth.
"The air travels into small vessels in the lungs,. The lungs are engorged.",Water runs into small pipes in the house. The pipes become swollen.,The oxygen from the air is transferred to capillaries in the lungs. The lungs begin to contract.
A stream of water is released from the hose. The valve is closed.,A straight beam of light is generated. The flashlight is turned off.,Water flows through a pipe. Water returns to the reservoir via the outlet valve.
A person has two ears to listen and pick up sounds. Sounds are heard from afar.,A house has a roof to keep out the rain. Raindrops patters are heard from above.,A person has two ears. Each ear is used to listen to different sounds.
"She was determined to reach the peak of the mountain. Exhilarated but exhausted, she began to make her way down.","Despite his persistence and dedication, he was stuck at the bottom rung of the ladder. With a heavy heart, he accepted his career's failure and looked forward.",The mountain peak is high and daunting. Climbers challenge and surmount the peak.
A room can be tidied. The room can be swept and dusted.,The paper can be de-inked. The paper can be cleaned and screened.,Heat escapes from a room. The room becomes colder.
Monkeys directly gather fruit from the trees through physical processes. Monkeys directly gather honey from the trees through chemical processes.,Bacteria directly absorb nutrients from the plant through chemical processes. Bacteria directly absorb nutrients from the plant through biological processes.,Trees and flowers wilt. Birds and animals disappear.
"Aromatic candles scent the room. Unscented ones do not however, and are used for decorative purposes.","Savory snacks tantalize the taste buds, while sweet treats satisfy the need for something sugary.",Ornaments are used to adorn the room. The decorations make the living space beautiful.
Soup is created with vegetables. The soup is served.,Vaccines are created from dead antigens. The vaccines are administered.,Soup can be cooked to make it safe to eat. Soup needs to be cooled quickly after.
"When couples have sex, they may make a baby. This baby is their body creating a new human.","When someone exercises, they start to sweat. This sweat is their body cooling down from the physical activity.",The sex of a child is determined. A baby's gender is defined moments after conception.
"The corrosive liquid sits on the iron. Over time, the liquid will erode the iron and cause it to rust.",An abrasive material is rubbed against the skin. The friction causes the skin to become tender.,The iron is treated to be able to use it as metal. It is put through a process of heating and cooling.
Butter has a place among other foods. It is classified as a food.,Dogs are part of a larger group. They are mammals.,"A person gets the cheese they need to make a tasty meal. Fast and easy, they have all their food ingredients."
Blood enters the kidney. The blood goes to tiny units in the kidney called nephrons.,Water enters a river. The water goes to small channels in the river called tributaries.,Blood carried into kidney by the renal artery. Nephrons in the kidney filter the blood.
The wind is able to blow the seeds off of the plants. The wind carries the seeds through the air to other areas.,A boat is launched on the sea. The boat travels to other places on the ocean.,The wind carries the seeds through the air to other areas. The seeds get caught in the fur of animals.
The bee flies to another area with other flowers. The pollen is deposited in that area.,A person travels to another country. Ideas and knowledge are shared in that country.,A bee visits a flower. The pollen from that flower sticks to the bee.
The beast is attacked by an invisible enemy. It's infected by a virus.,Crime strikes an unsuspecting victim. The criminal is the source of the chaos.,The virus is virulent and poisonous. It spreads quickly and causes destruction.
The melody from the flute stirred up memories of past events. Each note was a reminder of a time that now felt distant and faded.,The meat on the skewer was cooked to perfection. Its tender juices cut through the air like a poignant reminder of her beloved father.,"Music soared as the notes climbed the scale, growing in strength and complexity. The crescendo linking through the melody like a golden thread."
"Isolation threatened him until he found solidarity. Together they faced the world, undaunted.","On a lonesome journey, he found companionship. Through friendship, a new world was opened up.","An environment of repression can stifle our emotions, making it difficult to interact with others. Consequently, our quality of life can suffer."
Rehabilitation is used to encourage social and emotional growth through guidance and support. Probation involves ensuring the offender follows specific rules outside of prison.,Execution is the punishment used to enforce prison laws. Criminals are put to death by a state appointed official.,Punishment doesn't always lead to desired outcomes. Rehabilitation can help offenders change their behavior.
Dogs are part of a larger group. They are mammals.,Butter has a place among other foods. It is classified as a food.,"In some places, animals can be legally owned as pets. They can live a long and happy life."
"His bladder felt so full, he'd been holding it much too long. Suddenly, the urge to urinate became too great, and he let go.","His stomach growled with hunger. He quickly made an order for pizza, eager for his next meal.",Feeling a full bladder and one needs to go to urinate. Maybe one should think before drinking so much.
The magma rises to the earth's surface in volcanoes where it cools and hardens. The magma can also solidify blow the surface of the earth.,Hot air rises up to the atmosphere where it cools and condenses. The air can also cool down and become liquid beneath the atmosphere.,Magma reaches earth's surface. Lava flows pour out.
Pressing a finger on the keyboard will cause characters to type. Then hit 'enter' to save.,Place paper in the printer. Send the signal to print out a document.,Your fingers hit the keyboard to type. Your words translate onto the screen from finger movements.
Mountains can also be volcanoes. Mountains can be formed from earthquakes.,Houses can also be schools. Houses can be built from construction materials.,The plates that push each other up can form mountains. Mountains can also be volcanoes.
"He was vigilant in keeping the house secure, the yard monitored and safeguarded. He wanted to ensure the security of his family.",The parent was always warning the child of the dangers of the world. He tried to instil the needed tools to protect them.,The house is surrounded by a yard. It's the place to relax and enjoy.
An attack is often associated with aggression and confrontation. Resolution requires compromise and effective communication to end the conflict.,"Logic is used to develop rational ideas and arguments. Once a logical conclusion is reached, it cannot be retracted without further evidence.",Aggression can often be pacified. Communication serves as a powerful ally.
The magma undergoes changes in pressure. The magma cools.,The air is compressed in a balloon. The balloon deflates.,Magma flows as lava. Pressure builds up.
An individual with a decreased immune system is more susceptible to illnesses. Too little resistance and even the common cold could become a dangerous health concern.,Holding the glass tumbler precariously on one finger an example of lack of stability. One small movement and the glass will crash.,An excessive amount of body fat can account for obesity. It's both an individual and a public health concern due to its health risks.
Information is encrypted into a code. The code is sent out of the secure room.,DNA is encoded into mRNA. MRNA leaves the cell nucleus.,A person receives information from a source. The person then breaks down the information and evaluates it in each part of their mind.
She gets her hair cut into a really short style. She looks amazing with her new hairstyle.,He hears someone sing a melody. He joins in and sings along in harmony.,"She had a haircut, and now she had short hair. She felt so excited to try out a new look."
She worked diligently building a playground in the park. She wanted to bring joy and laughter to the children.,He worked tirelessly constructing a wall around the house. He wanted to feel a sense of security and safety.,The playground was full of children laughing and playing. The park was bustling with people and filled with the sound of joy.
Ribosomes bind the new DNA molecules. The transcription and translation continue until the DNA is copied.,Customers approach the counter. The ordering and payment process continues until the transaction is complete.,Proteins are entered into a phase called transcription. DNA is unwound partially so that it can be transcribed.
Anger has its origin from within us. Emotions affect our thoughts and decisions.,Steak comes from a cow and is a type of meat. Meat is consumed as food.,"The stoic individual had difficulty expressing emotion. Unable to express their feelings, their emotions were kept tightly guarded."
"She was a traveler, exploring every corner of the world. But every now and then she found an obstacle in her path.","Despite the challenges they faced, their love was strong. Every day was filled with a new difficulty to conquer.","The traveller embarked on the descent with caution, gradually making his way down the treacherous path."
"A person's actions are determined by the decisions they make. The decisions revolve around their core values, which are surrounded by beliefs and principles.","The generator uses the spins of the shaft to rotate a rotor. The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.",Ideas and opinions are shaped by life experiences. Time and change affects beliefs and principles.
"He was a veracious explorer, always following the trail no matter how hard or unforgiving it may be. He just knew something was at the end, a special surprise he would never forget.","She was such a pedant, always walking at the same pace, taking the same route every day. But that day would be different. She was about to discover something new.","He was an explorer, searching for new and exciting opportunities. Every day was a journey, and with each step he came closer and closer to discovering the unknown."
"When a person gets angry, their emotions trap them. The emotions prevent the person from calming down.","When the earth heats up, these gases trap heat. The gases prevent the earth from returning to cooler temperature.",A person's emotions become intense and fiery. Their emotions burst out and become more controlled and solidified as they are expressed outwardly.
"He smeared glue on the wall, watching it slowly go from runny and liquid to sticky and solid.","She put a rubber duck in the bathtub, looking as it went from dull and grey to bright and yellow.","She leaned her back against the wall, gripping a pencil tightly. The lead scratched against the paper, a sound that reassured her everything would be alright."
"Facing too many obstacles in her path, she was ready to give up. But something inside her wouldn't accept those terms.","Even with the difficulties he encountered, he refused to waiver in his mission. He reaffirmed his commitment to the cause.",The weapon cuts a path through what lies ahead. Obstacles prevent progress from going unchecked.
"A vacuum cleaner sucks up dust from the carpet. The dust is filtered out by a series of filters, which allow only clean air to be released.",Lungs draw in air with a pump-like system. The air is processed by small tubes which transmit oxygen to red blood cells.,Dust is filtered by many tiny dust filters called air purifiers. The dirt is stored in the bin as dust.
"After a hard fought battle, the army emerged victorious. They all felt proud of the victory they had achieved.","After a heated debate, she managed to convince her opponent. She had proved her point, and felt accomplish of her success.",The fierce battle has been won. Their victory is celebrated.
The baby cries out loud. The noise conveys its need for attention.,The person rushes to pay the bill. They feel the urgency of their financial obligation.,The baby let out a loud cry. The baby's needs were met in response to its loud cries.
Water runs into small pipes in the house. The pipes become swollen.,"The air travels into small vessels in the lungs,. The lungs are engorged.",Water flows through a pipe. The water travels down the pipe.
The earth temperature rises. Global warming occurs.,A pot of water is heated. The water begins to boil.,"When the earth heats up, these gases trap heat. The gases prevent the earth from returning to cooler temperature."
"The huge pieces become larger and larger as time goes on. Suddenly, something big is created.","The critical tasks become more and more important. Suddenly, something vital has been accomplished.",He had to remember to be patient and take his time. Rushing would make things worse.
The lungs have a series of smaller and finer tubes and sacs. Air reaches the smallest and finest air sacs called alveoli.,A tree has a system of branches and twigs. Leaves grow on the smallest and finest twigs.,"Air reaches the alveoli, the smallest air sacs in the lungs. In the alveoli, air passes into the blood within small capillaries."
"Watch the pot closely for bubbles. Once the bubbles are forming, the water is simmering.","Observe the water carefully for steam. Once vapor is rising, the water is boiling.","Steam rises through a boiling pot. Air bubbles form and expand, causing lots of pressure."
A person bathes in order to feel clean and refreshed. The person's body is rid of dirt and germs through the use of soap and water.,"To bring a new life into the world, a couple reproduces. The couple gives birth to their child, ensuring the continuation of the family's lineage.",People bathe in warm water. They use soap to clean themselves.
One moves a pawn on the chessboard. Everyone gets ready to play chess.,Vehicles speed up on the lane. People drive on the highway.,He enjoys playing chess. He wants to win.
"The breakwater stretched along the shoreline, the ocean waves gentled by its presence. A calm atmosphere surrounded the beach.","The insulation lined the walls of the room, muffling outside sound. A quiet atmosphere blanketed the space.","The tide slowly crept in, washing onto the shore of the beach. Waves lapped the sand as the beach sparkled under the sun."
The negotiator accepted their conditions. He retracted his demands.,The team was defeated. They decided to retreat.,"The negotiator read through the contract carefully, ensuring they considered every angle. Ultimately, they found a way to reach an agreement that all parties were happy with."
Grass and plants dry up and die without the water. Grass and plants that require water stop growing in the area.,People stop going to the store when there is no food. The store's business slows down and eventually shuts down.,Water flows to plants. Plants absorb the water.
This causes a tropical distrubance. The air above the cloud column cools.,This causes a heated argument. The atmosphere in the room grows tense.,Warm air condenses into cumulus clouds. The cloud grows.
"He found himself at the helm of an entire army, navigating through a perilous mission. He had a lot of responsibility as a general.","The guide took charge of a difficult expedition. He had to keep track of every traveler, showing leadership under pressure.",The general strategizes the battle plan. Orders are given to troops on the ground.
"The software suddenly turned off, leaving unexpected issues in its path. They frantically searched for a way to reactivate it.","He was falling asleep, his body slowly shutting down its functions. He quickly snapped back to reality, knowing he had to stay alert.",His life was about finding a way to reconcile his past with an uncertain future. He had to chart his own path.
"He sat alone, looking at the other people in the room with their perfect social personas. George realized he didn't belong in this society.",His nose was out of place amongst the equally structured faces in the crowd. He felt there was no place for himself in this world.,"The house is composed of multiple rooms, connected together. It is a place where people can experience comfortable living."
The garbage truck comes to the house. Workers take the plastic bag out of the garbage can and place it in the truck.,The mailman comes to the house. He takes the envelope out of the mailbox and puts it in his delivery bag.,Trash is deposited in a large can or in bags outside of the house. The trash is picked up by workers who put it on a garbage truck.
"Ideas begin to spread among people instead of staying in a single person's head. The ideas alter opinions, beliefs, and values.","Water begins flowing above the ground instead of dropping into the soil. The water carves away land, plants, and trees.",People spread their ideas and opinions through conversation and social media. Those ideas and opinions take root in new people and grow over time.
Ideas are transformed by exploration into beliefs. The beliefs travel up into the mind.,The water is transformed by heat into water vapor. The water vapor travels up into the atmosphere.,Ideas and beliefs that are no longer relevant are abandoned. The passage of time transforms these ideas and beliefs into something new and fresh.
"The conventional methods didn't work, so they had to try something new and novel to solve the case.",The suspect had no credibility so the officers were unable to trust his statement.,The foreword casts light on the purpose of a novel. The novel is composed to engage readers in a captivating narrative.
Find a suitable launch site. Calculate the amount of force needed to escape earth's gravity.,Find a suitable parking spot. Calculate the amount of pressure needed to push the car out of its parking spot.,The star lacks the energy needed to resist the force of gravity. Gravity pulls the star into itself.
