sent0,sent1,hard_neg
"After careful consideration, the team retracted their initial claim, ultimately winning the argument.",The troops retreated with honor after a long-fought victory.,"The person was determined and motivated, but their bank account was too small to get what they wanted. Nothing seemed to help."
"The person opened up their wardrobe, eagerly searching for the perfect outfit. After trying on several, the perfect one finally emerged.","The monkey saw a bunch of bananas, excitedly jumping towards them. After devouring a few, the monkey was finally content.",Reproduce by having sex. The actions result in the joining of two people for conception.
"The person opened up their wardrobe, eagerly searching for the perfect outfit. After trying on several, the perfect one finally emerged.","The monkey saw a bunch of bananas, excitedly jumping towards them. After devouring a few, the monkey was finally content.","The person eagerly put together an outfit, feeling stylish and confident."
"The person opened up their wardrobe, eagerly searching for the perfect outfit. After trying on several, the perfect one finally emerged.","The monkey saw a bunch of bananas, excitedly jumping towards them. After devouring a few, the monkey was finally content.",Head to the bedroom to relax. Enjoy a peaceful night of sleep.
The forest consists of thousands of trees. Together they absorb carbon dioxide and release oxygen.,"Most birds have two wings. Each wing is specialized to help them fly, providing lift and propulsion.",The forest is made up of many trees. Different kinds of trees provide a diverse environment.
The forest consists of thousands of trees. Together they absorb carbon dioxide and release oxygen.,"Most birds have two wings. Each wing is specialized to help them fly, providing lift and propulsion.","To travel abroad, you must obtain a visa. It's a legal document that permits you to stay in a foreign country for a certain amount of time."
The forest consists of thousands of trees. Together they absorb carbon dioxide and release oxygen.,"Most birds have two wings. Each wing is specialized to help them fly, providing lift and propulsion.",Steve was sad that no one bought his art. He couldn't stop the tears from streaming down his face.
The tooth rests within the mouth. It acts as a tool for mastication.,The wall stands around the building. It shields the structure from external forces.,"She reached up and plucked the orange from the branch, its deep orange colour glinting in the sun. She started to peel it, a burst of citrus filling the air."
The tooth rests within the mouth. It acts as a tool for mastication.,The wall stands around the building. It shields the structure from external forces.,"A tooth rests in the mouth, among other teeth. It grows secure with the other teeth."
The tooth rests within the mouth. It acts as a tool for mastication.,The wall stands around the building. It shields the structure from external forces.,"He ran his hand along the chair, rough wood passing under his palm. He needed furniture for his new home."
These ingredients can include fruits and vegetables. The ingredients are cooked and mixed over time.,These materials can include dead animals and plants. The material is subjected to heat and pressure over millions of years.,"The ingredients are stirred together. The food is created based on the amount of ingredients, time, and stirring."
These ingredients can include fruits and vegetables. The ingredients are cooked and mixed over time.,These materials can include dead animals and plants. The material is subjected to heat and pressure over millions of years.,Clouds are formed from the warm ocean's water vapor being released into the air. Condensation and evaporation continue.
These ingredients can include fruits and vegetables. The ingredients are cooked and mixed over time.,These materials can include dead animals and plants. The material is subjected to heat and pressure over millions of years.,The star starts burning helium. Atoms fuse into heavier elements.
Place paper in the printer. Send the signal to print out a document.,Pressing a finger on the keyboard will cause characters to type. Then hit 'enter' to save.,The canoe glides across the lake. People can now cross the lake easily.
Place paper in the printer. Send the signal to print out a document.,Pressing a finger on the keyboard will cause characters to type. Then hit 'enter' to save.,Turning on the printer enables you to print documents from your device.
Place paper in the printer. Send the signal to print out a document.,Pressing a finger on the keyboard will cause characters to type. Then hit 'enter' to save.,You start to get drunk and stumble onto the ground. You are now lying on the floor.
Fruits ripen. The fruits are dropped into the soil.,The bones decay. The bones are cast into the sediment.,Unprocessed gold is kept in a safe. Coins are made in the minting facility.
Fruits ripen. The fruits are dropped into the soil.,The bones decay. The bones are cast into the sediment.,Contact is made with a virus. The virus enters the human or animal body.
Fruits ripen. The fruits are dropped into the soil.,The bones decay. The bones are cast into the sediment.,The seeds remain fleshy fruits. The fleshy fruit is eaten.
Paint is applied to a canvas. Time passes on and a masterpiece is created.,The soil forms around the body. Time passes on and the rock forms.,"Two doors open in opposite directions. At the center of the room, chairs are arranged in a circle."
Paint is applied to a canvas. Time passes on and a masterpiece is created.,The soil forms around the body. Time passes on and the rock forms.,A sharp knife cuts its food. A sharp knife holds its food.
Paint is applied to a canvas. Time passes on and a masterpiece is created.,The soil forms around the body. Time passes on and the rock forms.,"Paint, brushes, and a canvas are used to paint a picture. The paint should be mixed and applied to the canvas."
Bombastic words create a turgid atmosphere. The tone is weighted and labored.,Whimsical phrases fill the air with a capriciousness. Thoughts are light and joyous.,"A thick mist shrouded the summit, obscuring her path ahead. She carefully navigated her way up, determined to reach its peak."
Bombastic words create a turgid atmosphere. The tone is weighted and labored.,Whimsical phrases fill the air with a capriciousness. Thoughts are light and joyous.,"The sounds of music wafted through the air, the atmosphere alive with emotion and energy. Nothing could have been more beautiful."
Bombastic words create a turgid atmosphere. The tone is weighted and labored.,Whimsical phrases fill the air with a capriciousness. Thoughts are light and joyous.,"Everything seemed perfect until they found a flaw in the plan. Marshall was there confirming it, realizing it had to be corrected."
This pattern of gain and loss continues. The stock becomes too expensive to be pushed up by investors.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.,Cats sneak up on their prey. Cats pounce and swipe their paws.
This pattern of gain and loss continues. The stock becomes too expensive to be pushed up by investors.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.,"The stock market moves up and down, collecting additional investment and growing in value. The large profits are distributed to investors."
This pattern of gain and loss continues. The stock becomes too expensive to be pushed up by investors.,This pattern of rising and falling continues. The hail becomes too large to be pushed up by the wind.,Lights up a room. The switch controls the amount of electricity running through the circuit.
An accident can be a scary experience. Hospitals provide safety and comfort for those affected.,Death affects us all. Funerals are held to honour the departed and offer comfort to the living.,The enemy forces press forward with great strength. The defending troops realize a retreat is their only option.
An accident can be a scary experience. Hospitals provide safety and comfort for those affected.,Death affects us all. Funerals are held to honour the departed and offer comfort to the living.,One connects to their sense of comfort and safety. They find something familiar to call home.
An accident can be a scary experience. Hospitals provide safety and comfort for those affected.,Death affects us all. Funerals are held to honour the departed and offer comfort to the living.,Fondness creates a feeling of love and warmth. Hatred breeds animosity and despise.
The timid person shies away from risk and uncertainty. The bold person is unafraid to step out of their comfort zone.,Nearby places are easily reachable. Distant places require travel.,The car lumbered along the street. Its speed was leisurely and unhurried.
The timid person shies away from risk and uncertainty. The bold person is unafraid to step out of their comfort zone.,Nearby places are easily reachable. Distant places require travel.,"She felt energized by the challenge the game posed. She was in her own world, racing through time and space."
The timid person shies away from risk and uncertainty. The bold person is unafraid to step out of their comfort zone.,Nearby places are easily reachable. Distant places require travel.,"The person shrugs their shoulders, unsure of what to do. Uncertainty starts to take hold of the situation."
Talented performers take the stage. Judges observe and evalute each performance at a dance recital.,"Suspected criminals appear in court, and evidence is brought forth. The judge and jury decide the outcome of the trial.","By pushing the boundaries of their world, they were able to discover new things. Fear no longer controlled their lives."
Talented performers take the stage. Judges observe and evalute each performance at a dance recital.,"Suspected criminals appear in court, and evidence is brought forth. The judge and jury decide the outcome of the trial.",Writing allows you to express your thoughts. Writing helps to clarify your thoughts.
Talented performers take the stage. Judges observe and evalute each performance at a dance recital.,"Suspected criminals appear in court, and evidence is brought forth. The judge and jury decide the outcome of the trial.","The cast had gathered in the auditorium, ready to put on a performance of the famed opera. As the music began, each paused to take in the moment."
Bread is generally made of flour. The flour is mixed with other ingredients until a dough is formed.,A book is usually made from paper. The papers are attached together to form the book.,"If you snore when you sleep, you could wake yourself up. The noise won't stay subdued for long, so better be careful."
Bread is generally made of flour. The flour is mixed with other ingredients until a dough is formed.,A book is usually made from paper. The papers are attached together to form the book.,The doctor is a person specialized in a certain field. They can provide specialist advice to those who require it.
Bread is generally made of flour. The flour is mixed with other ingredients until a dough is formed.,A book is usually made from paper. The papers are attached together to form the book.,Bread is made from flour and ingredients. The dough can then be shaped and baked into the desired form.
You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.,You stop your bicycle by applying the brake. This brings the bicycle to a halt and you can get off your bicycle safely.,"She grabbed the cup, cold glass surface sliding through her fingers. She wanted some tea."
You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.,You stop your bicycle by applying the brake. This brings the bicycle to a halt and you can get off your bicycle safely.,He picked up the frisbee and threw it. He was thrilled when he was able to catch it again.
You play frisbee by catching the frisbee as it moves through the air. This enables you to enjoy playing frisbee with your friends.,You stop your bicycle by applying the brake. This brings the bicycle to a halt and you can get off your bicycle safely.,"I love music, but I'm getting ready to move my body and dance."
This waste is not always cleaned up properly. Greenhouse gases can heat up the atmosphere.,Rubbish is not always disposed correctly. Dangerous chemicals can pollute the environment.,The animal's metabolism decreases. Hibernation can last for several months.
This waste is not always cleaned up properly. Greenhouse gases can heat up the atmosphere.,Rubbish is not always disposed correctly. Dangerous chemicals can pollute the environment.,A rock is picked up by the wind. The rock travels further.
This waste is not always cleaned up properly. Greenhouse gases can heat up the atmosphere.,Rubbish is not always disposed correctly. Dangerous chemicals can pollute the environment.,Greenhouse gases are gases that can linger in the atmosphere. These gases can prevent heat from escaping Earth's atmosphere.
The engaging scent travels up the nose. The sensation is a reminder of a distant memory.,The eyes take in the splendor of the scene. A breathtaking moment of clarity is realized.,"The sun moved in an elliptical motion, which allowed its full path to be traced with great accuracy."
The engaging scent travels up the nose. The sensation is a reminder of a distant memory.,The eyes take in the splendor of the scene. A breathtaking moment of clarity is realized.,The puppy grows into a dog. It learns to recognize humans and respond to commands from its owner.
The engaging scent travels up the nose. The sensation is a reminder of a distant memory.,The eyes take in the splendor of the scene. A breathtaking moment of clarity is realized.,"Memories are triggered by senses. The sights, sounds, and smells of the past are remembered."
Rocks are physically and chemically transformed into a metamorphic rock. Rocks are exposed to the atmosphere.,A caterpillar is physically and chemically transformed into a butterfly. The caterpillar is exposed to the warmth of the sun.,The plant uses the glucose to give itself energy. Oxygen is released as a by product.
Rocks are physically and chemically transformed into a metamorphic rock. Rocks are exposed to the atmosphere.,A caterpillar is physically and chemically transformed into a butterfly. The caterpillar is exposed to the warmth of the sun.,The water turns to steam. The steam turns the turbine.
Rocks are physically and chemically transformed into a metamorphic rock. Rocks are exposed to the atmosphere.,A caterpillar is physically and chemically transformed into a butterfly. The caterpillar is exposed to the warmth of the sun.,These rocks can break off and form sediment that reforms. These rocks can be formed together into sedimentary rock.
Ideas and thoughts are blended together. New solutions are created from the combined elements.,The material is melted together. New products are created from the recyclable materials.,The apple starts to spoil. The apple starts to rot.
Ideas and thoughts are blended together. New solutions are created from the combined elements.,The material is melted together. New products are created from the recyclable materials.,Grow into new ideas. These new ideas generate new solutions.
Ideas and thoughts are blended together. New solutions are created from the combined elements.,The material is melted together. New products are created from the recyclable materials.,Electrons flow through the circuit. Electrons flow back into the battery via the positive terminal.
"The electrical current creates a magnetic field around the wire, magnetizing the metal. The magnetic field can be turned on and off by starting or stopping the electricity source.","A water hose creates a spray of mist around it, cooling the air. The cooling effect can be turned on and off by opening or closing the valve.",A magnetic field is produced by the current. This magnetic field in the wire interacts with certain particles in the central metal part.
"The electrical current creates a magnetic field around the wire, magnetizing the metal. The magnetic field can be turned on and off by starting or stopping the electricity source.","A water hose creates a spray of mist around it, cooling the air. The cooling effect can be turned on and off by opening or closing the valve.",Myosin causes the muscle to contract. The contraction of the muscle allows it to move.
"The electrical current creates a magnetic field around the wire, magnetizing the metal. The magnetic field can be turned on and off by starting or stopping the electricity source.","A water hose creates a spray of mist around it, cooling the air. The cooling effect can be turned on and off by opening or closing the valve.",The sandcastle will slowly disappear. A large pit will be where the sandcastle was.
Buy products to support a cause. Spend money wisely and use it to help causes that matter to you.,Watch the evening news to stay informed. Hear about current events and what’s happening in the world.,"In order to buy a product, you need to spend money. After spending money, the product is yours."
Buy products to support a cause. Spend money wisely and use it to help causes that matter to you.,Watch the evening news to stay informed. Hear about current events and what’s happening in the world.,The soft yellow blanket was spread out on the bed invitingly. The perfect place for a cozy afternoon nap.
Buy products to support a cause. Spend money wisely and use it to help causes that matter to you.,Watch the evening news to stay informed. Hear about current events and what’s happening in the world.,"She had to make sure the coffee was served hot, or else the customers wouldn't be happy. Mindy took extra care with this task."
The books are arranged on the shelf. The library is filled with knowledge.,The dishes are arranged so the jets can hit them. The dishwasher is loaded with a cleaner.,Water vapor rises in the atmosphere. Water vapor becomes droplets.
The books are arranged on the shelf. The library is filled with knowledge.,The dishes are arranged so the jets can hit them. The dishwasher is loaded with a cleaner.,The seed sprouts. The roots take hold.
The books are arranged on the shelf. The library is filled with knowledge.,The dishes are arranged so the jets can hit them. The dishwasher is loaded with a cleaner.,Books are placed in a stack on a shelf. Ideas and knowledge from the books seep into the reader's mind.
"She carefully folded the cloth, ensuring it was as clean and crisp as possible. She knew it was time to make the dress.","He readied the knife, sharpening it to ensure a precise cut. He was ready to begin crafting the sculpture.",On the bookshelf lies a book. It is held in a space specially designed to keep it safe.
"She carefully folded the cloth, ensuring it was as clean and crisp as possible. She knew it was time to make the dress.","He readied the knife, sharpening it to ensure a precise cut. He was ready to begin crafting the sculpture.","She was craving pizza, so she went online to order it. Soon, the delicious smell of her favorite pizza filled her house and she couldn't wait to dig in."
"She carefully folded the cloth, ensuring it was as clean and crisp as possible. She knew it was time to make the dress.","He readied the knife, sharpening it to ensure a precise cut. He was ready to begin crafting the sculpture.","She knew she had to make clothes by hand, as cloth was hard to find. Maggie suddenly realized this was the only way she could survive."
Embracing our sadness gives us insight into our inner struggles and triggers understanding of our emotions. We become more mindful and better equipped to deal with our feelings.,"By finding pleasure in life we are able to focus on all the blessings in our life. We smile, appreciate and look forward to what we have and will receive.",Feelings of joy and sadness flowing together. Emotions intertwining and embracing one another.
Embracing our sadness gives us insight into our inner struggles and triggers understanding of our emotions. We become more mindful and better equipped to deal with our feelings.,"By finding pleasure in life we are able to focus on all the blessings in our life. We smile, appreciate and look forward to what we have and will receive.",Inmates are detained in jail. Prison is the sentence served once inmates break the law.
Embracing our sadness gives us insight into our inner struggles and triggers understanding of our emotions. We become more mindful and better equipped to deal with our feelings.,"By finding pleasure in life we are able to focus on all the blessings in our life. We smile, appreciate and look forward to what we have and will receive.",Bullets scatter across the battlefield. The outcome of the battle is uncertain.
The butter is bright yellow in color. It melts and spreads easily onto toast.,The flower is soft and fragrant. Its petals open up carefully to the sun.,"After having a haircut, short hair feels light and manageable. There is a feeling of freedom."
The butter is bright yellow in color. It melts and spreads easily onto toast.,The flower is soft and fragrant. Its petals open up carefully to the sun.,"I wanted to express how funny something was, but instead could only be laugh."
The butter is bright yellow in color. It melts and spreads easily onto toast.,The flower is soft and fragrant. Its petals open up carefully to the sun.,Grasp the knife firmly and spread butter over the toast. Slowly layer on the desired amount of butter.
The liquid in the pool reflects the environment around it. Every ripple creates a beautiful image.,Information and knowledge is stored in a digital repository. It refines the understanding of users.,An employee brings experience and knowledge to the working environment. These skills create invaluable resources for the company and the employee.
The liquid in the pool reflects the environment around it. Every ripple creates a beautiful image.,Information and knowledge is stored in a digital repository. It refines the understanding of users.,"She looked for ways to gain recognition, always hoping to reach the pinnacle of achievement. That was her ultimate desire."
The liquid in the pool reflects the environment around it. Every ripple creates a beautiful image.,Information and knowledge is stored in a digital repository. It refines the understanding of users.,Water is constantly circulated in the pool. The flux ensures the pool remains healthy.
The container is filled with sea water. The sea water is released into the larger ocean.,Money is deposited into a bank. The bank's holdings of wealth gradually increase.,Heat is transferred until the room is heated. The temperature keeps increasing until the desired level is reached.
The container is filled with sea water. The sea water is released into the larger ocean.,Money is deposited into a bank. The bank's holdings of wealth gradually increase.,Corals are in the ocean. They use light from the sun to survive and thrive in the salt water.
The container is filled with sea water. The sea water is released into the larger ocean.,Money is deposited into a bank. The bank's holdings of wealth gradually increase.,"The air was thick and intense, filled with carbon dioxide and microscopic particles. She had to take a deep breath, her lungs gasping for oxygen."
The glucagon causes stored glucose to be released back to the blood. Blood sugar levels rise.,The accelerator causes fuel to be released to the engine. The car's speed increases.,Water evaporates from oceans and lakes. Water becomes water vapor.
The glucagon causes stored glucose to be released back to the blood. Blood sugar levels rise.,The accelerator causes fuel to be released to the engine. The car's speed increases.,Cover up the hole. Press down on it.
The glucagon causes stored glucose to be released back to the blood. Blood sugar levels rise.,The accelerator causes fuel to be released to the engine. The car's speed increases.,"If blood sugar is too low, insulin levels decline. Glucagon is released by the pancreas."
He had intense training advocating for the same cause. It was difficult to support and reject what were often conflicting views.,"They had done their best selling the product, yet customers kept returning it. It was exhausting work.",She joined the corp expecting a challenge. After months of training she became an invaluable part of the army.
He had intense training advocating for the same cause. It was difficult to support and reject what were often conflicting views.,"They had done their best selling the product, yet customers kept returning it. It was exhausting work.","She knew she was guilty of deceit. Even so, she didn't care to be fraudulent any longer."
He had intense training advocating for the same cause. It was difficult to support and reject what were often conflicting views.,"They had done their best selling the product, yet customers kept returning it. It was exhausting work.","Patience is a virtue and learning it takes practice. Through perseverance and endurance, it is possible to gain a better understanding of how patience works."
Ingredients are mixed together to make a cake. Heat is produced as a byproduct.,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle. Oxygen is given off as a byproduct.",Light shines out of the light bulb. The flashlight shines light on whatever it's pointed toward.
Ingredients are mixed together to make a cake. Heat is produced as a byproduct.,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle. Oxygen is given off as a byproduct.",The ingredients in the recipe use heat. Transform the ingredients into a delicious dish.
Ingredients are mixed together to make a cake. Heat is produced as a byproduct.,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle. Oxygen is given off as a byproduct.",Parents put comfortable things inside the baby's crib. Parents put toys inside the baby's crib.
"To visit another country, travelers must cross borders. It takes planning and resources to travel abroad.",Hopping on a plane allows one to explore the world. It's an exciting way to see the world and create memories.,"A new country arose, spreading its borders across the continent. Soon it had grown to encompass the whole land."
"To visit another country, travelers must cross borders. It takes planning and resources to travel abroad.",Hopping on a plane allows one to explore the world. It's an exciting way to see the world and create memories.,He started the grill and put the steak on it. The smell of the marinade wafted through the air as the steak began to cook.
"To visit another country, travelers must cross borders. It takes planning and resources to travel abroad.",Hopping on a plane allows one to explore the world. It's an exciting way to see the world and create memories.,"The plant is placed on the windowsill, absorbing light and taking in water. It grows and blooms over time."
"A person adjusts a buckle on a belt, tightening it to the desired size. The buckle fastens securely, completing the belt.","A gardener places a plant in the soil and starts to water it. The plant grows, blooming in the garden.","He got down on one knee, holding the ring tightly in his hand. Finally, they said ""I do"" and started their life together."
"A person adjusts a buckle on a belt, tightening it to the desired size. The buckle fastens securely, completing the belt.","A gardener places a plant in the soil and starts to water it. The plant grows, blooming in the garden.",Animals reared primarily for their meat. People purchase it from the market.
"A person adjusts a buckle on a belt, tightening it to the desired size. The buckle fastens securely, completing the belt.","A gardener places a plant in the soil and starts to water it. The plant grows, blooming in the garden.","The law aids its people, providing rights and protecting them from harm."
People choose to emigrate to new countries. It is a journey they must undertake.,"Taking a step back, individuals reconsider their points of view. It is a retreat from their prior position.",A resilient framework is necessary to protect the structure from harsh weather. Properly built structures can endure any storm.
People choose to emigrate to new countries. It is a journey they must undertake.,"Taking a step back, individuals reconsider their points of view. It is a retreat from their prior position.",It had taken only a few seconds for the entire landscape to be warped beyond recognition. It seemed like everything had vanished in the blink of an eye.
People choose to emigrate to new countries. It is a journey they must undertake.,"Taking a step back, individuals reconsider their points of view. It is a retreat from their prior position.","Citizens flee nation, joining other expatriates from different countries. For them, life as immigrants begins anew."
A patient enters the doctor's office. The patient is determined to conquer the disease.,A warrior steps onto the battlefield. The warrior fears no enemy.,"The patient taking the right medication is restored to health. The medicine helps the patient recover fully, healing the cause of their illness."
A patient enters the doctor's office. The patient is determined to conquer the disease.,A warrior steps onto the battlefield. The warrior fears no enemy.,The brain sensed what was around them and interpreted the data. Its neurons working tirelessly to process information.
A patient enters the doctor's office. The patient is determined to conquer the disease.,A warrior steps onto the battlefield. The warrior fears no enemy.,His friends enjoyed playing games to divert their attention. It never failed to entertain them.
